Name,Type,Price,Description
Body Shot,barmenu,300.000 Gil,"Limited • Only the First Friday of the Month! A playful ritual with a staff member of your choice, where their body (or yours) becomes part of a thrilling, tempting experience."
Bar Buyout,barmenu,1.000.000 Gil,"It's your opportunity to shine, toasting to success, celebrating milestones, or simply making a lasting impression. Let the drinks flow freely as you create memories that will linger forever."
AxoCore Energy Drink,barmenu,1.000 Gil,"At Habitat, the energy never stops. Axocore is here to keep you right there with it. A bold, electrifying drink that amplifies the vibe and fuels your every move. Get ready to keep the night alive."
Abyssal Elixir,barmenu,10.000 Gil,"Sapphire Blue Gin meets elderflower’s soft kiss, brightened by lemon and Blue Curacao, with agave’s smooth sweetness for a sip of pure, refined indulgence."
Coral Whisper,barmenu,10.000 Gil,"Dragon fruit teases like a warm sea breeze, lychee’s perfume lingering as lemon and agave flow together in a sweet, fragrant harmony that feels like paradise."
Tidal Temptation,barmenu,10.000 Gil,"Raspberry vodka seduces with bold berry heat, deepened by pomegranate’s tart allure, then softened with lemon’s bright touch and cranberry’s gentle sweetness."
Eternal Wave,barmenu,10.000 Gil,"White rum flows smooth as calm waters, lime awakening the senses, agave adding natural sweetness, and coconut’s cool embrace completing this tranquil escape."
Mystic Amethyst,barmenu,10.000 Gil,"Blackberry vodka blooms with the floral elegance of violet and lavender, drifting gently into the tropical hush of coconut water for a serene indulgence."
Sea Breeze Bliss,barmenu,10.000 Gil,"Elderflower shimmers beneath champagne’s lively sparkle, with lime and bitters adding bright zest and subtle depth, evoking the freshness of the sea."
Mystery Shot,barmenu,100.000 Gil,"Limited • Only on Beewekly Fridays! A glowing purple shot with an otherworldly pulse, hiding a twist only the bartender knows. Each sip is a gamble - will it spark, challenge, or surprise?"
Crimson Truth,barmenu,100.000 Gil,"Limited • Only on Beewekly Fridays! A deep red drink that dares you to reveal your truth. With the first sip, the bartender asks a question you must answer honestly, setting secrets free."
Azure Dare,barmenu,100.000 Gil,"Limited • Only on Beewekly Fridays! A crisp blue drink that tempts you out of your comfort zone. Sip, and the bartender gives you a playful dare - what will you do when the challenge comes?"
Sweet Exposure,barmenu,100.000 Gil,"Limited • Only on Beewekly Fridays! A soft pink elixir that invites confession. Whisper your secret to the bartender, and later, they’ll let it slip to the crowd for all to hear."
Whisper in a Glass,barmenu,100.000 Gil,"Limited • Only After 23ST (22ST on summer)! Send a drink to someone who’s caught your eye - a toast, a tease, or a secret. Delivered by our maid, with your name or without."
SFW Casual RP,companionship,150.000 Gil / Hour,"HourShare warm, engaging company in a relaxed setting. Whether it’s a friendly date or a BF/GF experience, enjoy genuine connection within Habitat’s walls. • Extra patron: 50,000 Gil!"
Lapdance,companionship,300.000 Gil / Hour,"An experienced staff member will perform a fully role-played lap dance just for you, blending sensual movement with teasing interaction for a captivating show. • Extra patron: 150,000 Gil / Hour!"
Body Shot,companionship,300.000 Gil / Hour,"A playful, flirtatious ritual with the staff member of your choice and your favourite cocktail. Their body - or yours - becomes part of a thrilling, tempting experience. • Extra patron: 150,000 Gil / Hour!"
Introduction to ERP,companionship,200.000 Gil / Hour,"A 2–3 hour session where one of our most experienced staff guides you through erotic role-play basics: 30 mins OOC talk, 1–2 hrs practical play, 30 mins aftercare. • Extra patron: Not allowed! (Min. 2 Hours)"
Erotic RP (ERP),companionship,400.000 Gil / Hour,"A private erotic role-play session with one of our staff members, tailored to your desires. Explore passion and fantasy in an intimate, immersive encounter. • Extra patron: Not allowed! (Min. 1 Hour)"
Hardcore ERP,companionship,500.000 Gil / Hour,"For those wanting to unleash their wildest kinks. This intense erotic role-play session is tailored to your boundaries, with kinks discussed beforehand. • Extra patron: 250,000 Gil / Hour ! (Min. 2 Hours)"
Threesome,companionship,700.000 Gil / Hour,"One is not enough? Indulge in an erotic role-play session with two of our courtesans. Your kinks and boundaries will be discussed beforehand. • Extra patron: Not allowed! (Min. 2 Hours)"
Two Courtesans Show,companionship,700.000 Gil / Hour,"Enjoy a private, intimate erotic performance between two courtesans, created exclusively for your eyes. A sensual display only for you. • Extra patron: Not allowed! (Min. 2 Hours)"
NSFW GPose with a Courtesan,companionship,1.400.000 Gil,"A personalised photoshoot with a courtesan of your choice. While the photographer works, enjoy meeting, chatting, and sharing time together in playful intimacy. • Extra patron: 500,000 Gil / Extra courtesan: 900,000 Gil"
SFW Gpose,photography,100.000 Gil / Person,"Our photographers capture your essence in a timeless shot - perfect for keepsakes or profiles. A high-quality portrait that ensures you stand out."
NSFW Gpose,photography,500.000 Gil / Person,"Celebrate your confidence or embrace your sensuality with a single, stunning image. A safe, comfortable space to express your erotic side."
NSFW GPose with a Courtesan,photography,1.400.000 Gil,"A personalised photoshoot with a courtesan of your choice. While the photographer works, enjoy meeting, chatting, and sharing time together in playful intimacy. • Extra patron: 500,000 Gil / Extra courtesan: 900,000 Gil"
Your Date at Habitat,privateevent,Price on request,"A night made for two - your own private suite, champagne, a crafted cocktail on arrival, and the atmosphere to make every moment unforgettable."
Ocean's Edge VIP Party,privateevent,Price on request,"Celebrate in style with exclusive access to our Ocean’s Edge VIP sofas - prime views, a premium atmosphere, and service that keeps the party flowing all night."
Blue Moon Lounge,privateevent,Price on request,"Host your night in the enchanting Blue Moon Lounge - a private chamber with its own bar, intimate atmosphere, and entertainment to make your celebration unforgettable."
Nightly VIP,vip,300.000 Gil,"A taste of the VIP experience for one unforgettable night."
Monthly VIP,vip,1.000.000 Gil,"All-month access to perks, comfort, and priority treatment."
Lifetime VIP,vip,10.000.000 Gil,"Access to every VIP advantage and pre-bookings, for life."
Booster Promo,vip,Discord Server Boost,"Boosting the server also grants you all Monthly VIP perks - as long as your boost stays active!"
